,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m)),일사량,전운량
93,2016-10-01,,북춘천,강원도 춘천시신북읍 산천리264(장본1길 12) 춘천기상대,춘천기상대(101),37.9474,127.7544,95.78,96.78,1.5,10,1.4,,
95,1988-01-01,,철원,강원도 철원군갈말읍 명성로179번길 26 철원자동기상관측소,춘천기상대(101),38.1479,127.3042,155.48,156.98,1.8,13,1.5,,
100,2006-11-07,,대관령,강원도 평창군대관령면 경강로5372 대관령자동기상관측소 ,대관령기상대(100),37.6771,128.7183,772.43,773.43,1.7,10,1.4,,
101,1966-01-01,,춘천,강원도 춘천시충열로 91번길12 춘천자동기상관측소 ,춘천기상대(101),37.9026,127.7357,75.82,77.05,1.5,10,1.4,,
102,2018-05-01,,백령도,인천광역시 옹진군백령면 진촌리1031  ,백령도기상대(102),37.974,124.7124,36,37.2,1.8,9,1.2,,
104,2008-07-28,,북강릉,강원도 강릉시사천면 과학단지로130 강원지방기상청 ,강릉(구 105),37.8046,128.8554,75.24,76.67,1.7,10,1.4,,
105,1911-10-03,,강릉,강원도 강릉시용강동 63-20강릉자동기상관측소  ,강릉(구 105),37.7515,128.891,27.12,28.22,1.7,10,0.5,,
108,2010-08-16,,서울,서울특별시 종로구송월길 52서울기상관측소  ,서울기상관측소(108),37.5714,126.9658,85.67,86.67,1.5,10,0.5,,
112,2013-10-22,,인천,인천광역시 중구전동 25번지인천기상대  ,인천기상대(112),37.4777,126.6249,68.99,70.19,1.6,10,1.2,,
114,1971-09-06,,원주,강원도 원주시단구로 159원주자동기상관측소  ,원주기상대(114),37.3375,127.9466,150.11,151.11,1.7,14,1.4,,
115,1938-08-10,,울릉도,경상북도 울릉군울릉읍 무릉길227-75 울릉도관측소 ,울릉도기상대(115),37.4813,130.8986,222.4,223.7,1.6,10,1.3,,
119,2019-07-24,,수원,경기도 수원시권선구 권선로276  ,,37.2575,126.983,39.81,40.81,1.6,18.7,1.1,,
131,1967-01-01,,청주,충청북도 청주시흥덕구 공단로76 청주기상지청 ,청주기상대(131),36.6392,127.4407,58.7,60.1,1.7,10,0.8,,
133,1969-01-01,,대전,대전광역시 유성구대학로 383(대전광역시 유성구 구성동22),대전지방기상청(133),36.372,127.3721,70.22,71.12,1.6,19.8,1.2,,
135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1,,
136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3,,
138,1943-01-01,,포항,경상북도 포항시남구 송도로70 포항관측소 ,포항기상대(138),36.032,129.38,3.94,4.92,1.6,10,1.2,,
143,2017-08-25,,대구,대구광역시 동구효동로2길 10대구기상지청  ,대구(구 143),35.878,128.653,54.27,55.52,1.8,10,0.6,,
146,2015-07-01,,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8408,127.119,61.4,62.9,1.6,10,1.4,,
155,2010-07-22,,창원,경상남도 창원시마산합포구 가포순환로172 창원기상대 ,창원기상대(155),35.1702,128.5729,37.6,39.1,1.7,10,1.3,,
156,1939-05-01,,광주,광주광역시 북구운암동 산1번지  ,광주지방기상청(156),35.1729,126.8916,72.38,73.9,1.7,17.5,0.8,,
159,1904-04-09,,부산,부산광역시 중구복병산길 32번길43962 부산기상관측소 ,부산지방기상청(159),35.1047,129.032,69.56,70.9,1.5,18,1.3,,
165,2019-10-31,,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8173,126.3815,44.7,39.2,1.5,14.5,1,,
168,1942-03-01,,여수,전라남도 여수시고소동 304  ,여수기상대(168),34.7393,127.7406,64.64,66.1,1.5,13,0.6,,
169,1997-01-01,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.451,76.49,78,1.5,15.5,0.6,,
172,2010-12-01,,고창,전라북도 고창군대산면 매산리399-13  ,전주기상대(146),35.3489,126.599,52,53.5,1.8,10,1.7,,
177,2017-10-31,,홍성,충청남도 홍성군홍북읍 신경리872(홍성기상대)  ,,36.6576,126.6877,27.74,28.7,1.5,10,1.5,,
184,1923-05-01,,제주,제주특별자치도 제주시동문로 9길43843 제주지방기상청 ,제주지방기상청(184),33.5141,126.5297,20.79,21.99,1.7,15,1.5,,
185,1988-01-01,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,71.39,72.49,1.7,10,1.5,,
192,2005-11-23,,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,창원기상대(155),35.1638,128.04,30.21,31.6,1.8,10,1.3,,
251,2010-12-01,,고창군,전라북도 고창군고창군 중거리당산로27364 상하수도사업소 ,전주기상대(146),35.4266,126.697,54,55.5,1.7,10,0.6,,
252,2007-11-26,,영광군,전라남도 영광군복호로 7영광군 현장방사능방재지휘센터 ,광주지방기상청(156),35.2837,126.4778,37.2,38.7,1.5,13,0.6,,
253,2008-02-13,,김해시,경상남도 김해시부원동 121번지  ,부산지방기상청(159),35.2267,128.893,53.34,54.6,1.7,10,0.5,,
254,2008-07-16,,순창군,전라북도 순창군순창읍 교성리258 순창군공설운동장 ,전주기상대(146),35.3714,127.1286,127,128.4,1.6,10,0.6,,
255,2010-07-22,,북창원,경상남도 창원시성산구 외동반림로93 외동배수지 ,창원기상대(155),35.2264,128.6725,48.8,50.3,1.8,10,0.7,,
257,2008-12-26,,양산시,경상남도 양산시동면 강변로54 수질정화공원 ,울산기상대(152),35.3072,129.02,14.85,16.1,1.8,10,0.6,,
258,2010-03-11,,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7633,127.2123,2.8,4.3,1.5,10,0.6,,
259,2009-11-10,,강진군,전라남도 강진군강진읍 금릉1길48 전남수산기술사업소 강진지소,목포기상대(165),34.6261,126.7689,12.5,13.9,1.5,10,0.6,,
263,2010-06-21,,의령군,경상남도 의령군의합대로 44-54의령종합환경관리사업소  ,창원기상대(155),35.3226,128.2881,14.18,14.9,2,10,0.6,,
264,2010-06-21,,함양군,경상남도 함양군함양읍 용평리915-202  ,창원기상대(155),35.5114,127.7454,151.2,152.5,1.8,10,0.6,,
266,2017-08-25,,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.9434,127.6914,86.7,87.9,1.7,10,0.6,,
276,2010-09-01,,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,안동기상대(136),36.4351,129.0401,208.65,210.2,1.75,10,0.5,,
283,2010-08-06,,경주시,경상북도 경주시서라벌대로336-20 탑동정수장  ,포항기상대(138),35.8174,129.2009,40.13,41.63,1.67,10,0.59,,
